t,U
15.57247727,-1.831549519
15.61397727,-1.831549519
15.65547727,-1.78552163
15.69697727,-1.704972824
15.73847727,-1.658944935
15.77997727,-1.57839613
15.82147727,-1.647437963
15.86297727,-1.704972824
15.90447727,-1.658944935
15.94597727,-1.57839613
15.98747727,-1.509354296
16.01811364,-1.57839613
16.05961364,-1.57839613
16.10111364,-1.486340352
16.14261364,-1.37127063
16.18411364,-1.161268387
16.22561364,-0.9138684839
16.26711364,-0.7240034422
16.30861364,-0.3126291851
16.3522096,0.1233572069
16.38972727,0.5829009282
16.42179545,1.319306054
16.44631818,2.113424126
16.47272727,2.899254437
16.49913636,3.749691603
16.52743182,4.535961417
16.54818182,5.327944762
16.57836364,6.150693276
16.60854545,7.139573702
16.63495455,7.988692361
16.66136364,8.737604469
16.68777273,9.444324347
16.71229545,10.19775705
16.73870455,10.86680529
16.77265909,11.4590034
16.81415909,11.67188239
16.84811364,11.19228822
16.87075,10.45271868
16.87640909,9.766040112
16.89527273,9.054046206
16.90281818,8.373696473
16.91413636,7.424371264
16.92922727,6.395935622
16.93677273,5.378048037
16.94431818,4.550025494
16.95563636,3.500493736
16.9694697,2.503702267
16.97701515,1.586021232
16.98581818,0.8265610651
16.98959091,-0.1508922978
17.00656818,-1.019349063
17.01788636,-1.546751956
17.02228788,-2.42224076
17.03109091,-3.11313855
17.04240909,-3.888420804
17.07447727,-4.834869269
17.11597727,-4.869390186
17.15747727,-4.268150887
17.19897727,-3.825132457
17.24047727,-3.523074436
17.28197727,-3.44252563
17.32347727,-3.23540013
17.36497727,-2.982246741
17.40647727,-2.683065463
17.44797727,-2.435665561
17.48947727,-2.314842352
17.53097727,-2.061688963
17.57247727,-1.831549519
17.61397727,-1.831549519
17.65547727,-1.78552163
17.69697727,-1.704972824
17.73847727,-1.658944935
17.77997727,-1.57839613
17.82147727,-1.647437963
17.86297727,-1.704972824
17.90447727,-1.658944935
17.94597727,-1.57839613
17.98747727,-1.509354296
18.01811364,-1.57839613
18.05961364,-1.57839613
18.10111364,-1.486340352
18.14261364,-1.37127063
18.18411364,-1.161268387
18.22561364,-0.9138684839
18.26711364,-0.7240034422
18.30861364,-0.3126291851
18.3522096,0.1233572069
18.38972727,0.5829009282
18.42179545,1.319306054
18.44631818,2.113424126
18.47272727,2.899254437
18.49913636,3.749691603
18.52743182,4.535961417
18.54818182,5.327944762
18.57836364,6.150693276
18.60854545,7.139573702
18.63495455,7.988692361
18.66136364,8.737604469
18.68777273,9.444324347
18.71229545,10.19775705
18.73870455,10.86680529
18.77265909,11.4590034
18.81415909,11.67188239
18.84811364,11.19228822
18.87075,10.45271868
18.87640909,9.766040112
18.89527273,9.054046206
18.90281818,8.373696473
18.91413636,7.424371264
18.92922727,6.395935622
18.93677273,5.378048037
18.94431818,4.550025494
18.95563636,3.500493736
18.9694697,2.503702267
18.97701515,1.586021232
18.98581818,0.8265610651
18.98959091,-0.1508922978
19.00656818,-1.019349063
19.01788636,-1.546751956
19.02228788,-2.42224076
19.03109091,-3.11313855
19.04240909,-3.888420804
19.07447727,-4.834869269
19.11597727,-4.869390186
19.15747727,-4.268150887
19.19897727,-3.825132457
19.24047727,-3.523074436
19.28197727,-3.44252563
19.32347727,-3.23540013
19.36497727,-2.982246741
19.40647727,-2.683065463
19.44797727,-2.435665561
19.48947727,-2.314842352
19.53097727,-2.061688963
19.57247727,-1.831549519
19.61397727,-1.831549519
